program,file,root,detected,dist_st,detector_spread,kind
Bass,KSHMR Bass One Shot (A) - Clean Punch.wav,A,A,0,0,
Bass,KSHMR Bass One Shot (B) - Crunch Bite.wav,B,B,0,0,
Bass,KSHMR Bass One Shot (E) - Chorus Long.wav,E,E,0,0,
Bass,KSHMR Bass One Shot (E) - Clean Extended.wav,E,E,0,1,
Bass,KSHMR Bass One Shot (E) - Clean Sustain.wav,E,E,0,2,
Bass,KSHMR Bass One Shot (E) - Crunch Sustain.wav,E,E,0,1,
Bass,KSHMR Bass Slide (A) - Drop.wav,A,G#,1,3,gesture
Bass,KSHMR Bass Slide (C#) - Glide.wav,C#,C,1,1,gesture
Bass,KSHMR Bass Slide (C) - Fall.wav,C,G#,4,4,gesture
Bass,KSHMR Bass Slide (E) - Swoop.wav,E,D,2,6,gesture
Bass,KSHMR Bass Slide (F#) - Dive.wav,F#,D,4,3,gesture
Bass,KSHMR Bass Slide (G) - Plunge.wav,G,F,2,1,gesture
Didgeridoo FX,KSHMR Didgeridoo - FX - Voices (D#).wav,D#,G,4,5,gesture
Didgeridoo FX,KSHMR Didgeridoo - FX - Whispers (D#).wav,D#,F#,3,3,gesture
Didgeridoo Stab,KSHMR Didgeridoo - Stab - Bump (A#).wav,A#,A,1,3,
Didgeridoo Stab,KSHMR Didgeridoo - Stab - Buzz (D#).wav,D#,D#,0,2,
Didgeridoo Stab,KSHMR Didgeridoo - Stab - Pinpoint (D).wav,D,D,0,1,
Didgeridoo Stab,KSHMR Didgeridoo - Stab - Pulse (D#).wav,D#,D#,0,0,
Didgeridoo Stab,KSHMR Didgeridoo - Stab - Resonant (F#).wav,F#,F#,0,4,
Didgeridoo Sustain,KSHMR Didgeridoo - Sustain - Horn (G).wav,G,G,0,0,
Didgeridoo Sustain,KSHMR Didgeridoo - Sustain - Hum (D#).wav,D#,D#,0,0,
Didgeridoo Sustain,KSHMR Didgeridoo - Sustain - Rumble (D).wav,D,C#,1,0,
Didgeridoo Transition,KSHMR Didgeridoo - Transition - Build (D).wav,D,D,0,2,
Didgeridoo Transition,KSHMR Didgeridoo - Transition - Flutter (D).wav,D,D,0,0,
Didgeridoo Transition,KSHMR Didgeridoo - Transition - Swell (D).wav,D,D,0,1,
Duduk,KSHMR Duduk Lick (Am) - Swirl.wav,A,A,0,6,gesture
Duduk,KSHMR Duduk Lick (C) - Ashes.wav,C,F,5,0,gesture
Duduk,KSHMR Duduk Lick (C) - Cinder.wav,C,C,0,0,gesture
Duduk,KSHMR Duduk Lick (C) - Midnight.wav,C,F,5,2,gesture
